SMILES,nAtom,nAromBond,nAtomLAC,LipinskiFailures,ALogp2,nHBDon,ALogP,naAromAtom,nAtomLC,nAtomP,MLogP,nRotB,AMR,XLogP,nB
InChI%3D1S%2FC10H11ClN4%2Fc1-8%2814-7-12%2915%282%296-9-3-4-10%2811%2913-5-9%2Fh3-5H%2C6H2%2C1-2H3,26.0,6.0,2.0,0.0,0.0197121594101191,,-0.140400007367134,6.0,8.0,6.0,2.00999999046326,3.0,62.1375999450684,0.601999998092651,15.0
InChI%3D1S%2FC14H17N3O3%2Fc1-7%282%2914%284%2913%2820%2916-11%2817-14%2910-9%2812%2818%2919%295-8%283%296-15-10%2Fh5-7H%2C1-4H3%2C%28H%2C18%2C19%29%28H%2C16%2C17%2C20%29,37.0,6.0,0.0,0.0,0.0528080388903618,,-0.0531999990344048,6.0,2.0,14.0,2.33999991416931,3.0,95.2453002929688,1.16400003433228,21.0
InChI%3D1S%2FC9H5Cl3N4%2Fc10-5-3-1-2-4-6%285%2913-9-15-7%2811%2914-8%2812%2916-9%2Fh1-4H%2C%28H%2C13%2C14%2C15%2C16%29,21.0,6.0,0.0,0.0,4.63153457641602,,2.15210008621216,6.0,0.0,13.0,1.67999994754791,1.0,67.9713973999023,1.90400004386902,17.0
InChI%3D1S%2FC14H17N5O7S2%2Fc1-4-27%2821%2C22%299-6-5-7-15-12%289%2928%2823%2C24%2919-14%2820%2918-13-16-10%2825-2%298-11%2817-13%2926-3%2Fh5-8H%2C4H2%2C1-3H3%2C%28H2%2C16%2C17%2C18%2C19%2C20%29,15.0,6.0,0.0,0.0,9.88976669311523,,3.14479994773865,6.0,2.0,6.0,1.78999996185303,1.0,54.5499992370605,2.80200004577637,11.0
InChI%3D1S%2FC10H15O3PS2%2Fc1-8-7-9%285-6-10%288%2916-4%2913-14%2815%2C11-2%2912-3%2Fh5-7H%2C1-4H3,62.0,12.0,3.0,0.0,2.62861371040344,,-1.62129998207092,12.0,5.0,11.0,2.77999997138977,7.0,129.882797241211,0.774999976158142,35.0
InChI%3D1S%2FC20H27NO3%2Fc1-6-16%2821-24-7-2%2920-17%2822%2910-15%2811-18%2820%2923%2919-13%284%298-12%283%299-14%2819%295%2Fh8-9%2C15%2C22H%2C6-7%2C10-11H2%2C1-5H3,49.0,6.0,3.0,0.0,6.14246654510498,,2.47839999198914,6.0,7.0,16.0,3.22000002861023,5.0,100.940002441406,4.28700017929077,25.0
InChI%3D1S%2FC25H22ClNO3%2Fc1-17%282%2924%2818-11-13-20%2826%2914-12-18%2925%2828%2930-23%2816-27%2919-7-6-10-22%2815-19%2929-21-8-4-3-5-9-21%2Fh3-15%2C17%2C23-24H%2C1-2H3,5.0,0.0,0.0,0.0,0.51609855890274,,0.718400001525879,0.0,3.0,0.0,1.24000000953674,0.0,45.6068992614746,3.68799996376038,3.0
InChI%3D1S%2FC12H20N4O2%2Fc1-14%282%2910-13-11%2817%2916%2812%2818%2915%2810%293%299-7-5-4-6-8-9%2Fh9H%2C4-8H2%2C1-3H3,40.0,0.0,0.0,0.0,1.43041598796844,1.0,-1.19599997997284,0.0,2.0,7.0,2.11999988555908,2.0,58.717098236084,0.925999999046326,19.0
InChI%3D1S%2FC10H11N5O%2Fc1-8-7-15%2810%2816%2914-13-8%2912-6-9-3-2-4-11-5-9%2Fh2-6H%2C7H2%2C1H3%2C%28H%2C14%2C16%29,26.0,12.0,0.0,0.0,0.0841000005602837,,-0.28999999165535,12.0,2.0,15.0,1.89999997615814,2.0,61.560001373291,0.935000002384186,17.0
InChI%3D1S%2FC6H12N2O3%2Fc1-8%282%297-5%289%293-4-6%2810%2911%2Fh3-4H2%2C1-2H3%2C%28H%2C7%2C9%29%28H%2C10%2C11%29,23.0,0.0,4.0,0.0,0.00115599995478988,2.0,-0.034000001847744,0.0,11.0,4.0,1.57000005245209,4.0,39.0854988098145,-0.247999995946884,10.0
InChI%3D1S%2FC7H13O6P%2Fc1-6%285-7%288%2910-2%2913-14%289%2C11-3%2912-4%2Fh5H%2C1-4H3,27.0,0.0,4.0,0.0,0.221746817231178,0.0,0.470899999141693,0.0,14.0,10.0,1.46000003814697,6.0,49.6941986083984,0.0430000014603138,13.0
InChI%3D1S%2FC15H14Cl2F3N3O3%2Fc1-3-26-13%2824%2910%2817%294-8-5-12%2811%2818%296-9%288%2916%2923-15%2825%2922%2814%2819%2920%297%282%2921-23%2Fh5-6%2C10%2C14H%2C3-4H2%2C1-2H3,40.0,6.0,3.0,0.0,2.28856372833252,,1.51279997825623,6.0,8.0,12.0,1.89999997615814,7.0,29.534200668335,3.81399989128113,27.0
InChI%3D1S%2FC10H19N5O%2Fc1-6%282%2911-8-13-9%2812-7%283%294%2915-10%2814-8%2916-5%2Fh6-7H%2C1-5H3%2C%28H2%2C11%2C12%2C13%2C14%2C15%29,35.0,0.0,0.0,0.0,2.91600008495152e-05,,0.00540000014007092,0.0,4.0,9.0,1.89999997615814,3.0,60.6497993469238,2.42899990081787,16.0
InChI%3D1S%2FC14H24NO4PS3%2Fc1-12%282%2918-20%2821%2C19-13%283%294%2922-11-10-15-23%2816%2C17%2914-8-6-5-7-9-14%2Fh5-9%2C12-13%2C15H%2C10-11H2%2C1-4H3,40.0,12.0,0.0,0.0,5.48730611801147,,2.34249997138977,12.0,0.0,7.0,3.22000002861023,0.0,91.2071990966797,2.16199994087219,23.0
InChI%3D1S%2FC7H10N4O3%2Fc1-3-9-7%2813%2910-6%2812%295%284-8%2911-14-2%2Fh3H2%2C1-2H3%2C%28H2%2C9%2C10%2C12%2C13%29,26.0,6.0,0.0,0.0,0.953161716461182,2.0,-0.976300001144409,6.0,0.0,6.0,2.33999991416931,1.0,48.6941986083984,0.273999989032745,13.0
InChI%3D1S%2FC11H15N3O2.ClH%2Fc1-12-11%2815%2916-10-6-4-5-9%287-10%2913-8-14%282%293%3B%2Fh4-8H%2C1-3H3%2C%28H%2C12%2C15%29%3B1H,10.0,0.0,2.0,0.0,3.43731594085693,,1.85399997234344,0.0,6.0,0.0,1.12999999523163,1.0,16.7623996734619,2.91199994087219,5.0
InChI%3D1S%2FC19H23N3%2Fc1-14-6-8-18%2816%283%2910-14%2920-12-22%285%2913-21-19-9-7-15%282%2911-17%2819%294%2Fh6-13H%2C1-5H3,53.0,6.0,2.0,0.0,0.401195555925369,,0.633400022983551,6.0,3.0,17.0,3.10999989509583,4.0,61.2163009643555,1.43900001049042,30.0
InChI%3D1S%2FC16H17F5N2O2S%2Fc1-7%282%296-8-9%2815%2824%2925-3%2911%2813%2817%2918%2923-12%2816%2819%2C20%2921%2910%288%2914-22-4-5-26-14%2Fh7%2C13H%2C4-6H2%2C1-3H3,25.0,6.0,2.0,0.0,7.99701833724976,,2.82789993286133,6.0,5.0,6.0,2.23000001907349,3.0,89.1277008056641,-0.177000001072884,11.0
InChI%3D1S%2FC15H20ClN3O%2Fc1-15%282%2C3%2914%2820%2913%2819-10-17-9-18-19%298-11-4-6-12%2816%297-5-11%2Fh4-7%2C9-10%2C13-14%2C20H%2C8H2%2C1-3H3,44.0,6.0,5.0,0.0,3.30294275283813,,1.8173999786377,6.0,8.0,6.0,2.55999994277954,5.0,85.7703018188477,1.95700001716614,21.0
InChI%3D1S%2FC17H21ClN2O2S%2Fc1-11-15%2812-7-9-13%2818%2910-8-12%2923-17%2822%2920%2811%2916%2821%2919-14-5-3-2-4-6-14%2Fh7-11%2C14-15H%2C2-6H2%2C1H3%2C%28H%2C19%2C21%29,13.0,0.0,0.0,0.0,1.35536158084869,,1.16419994831085,0.0,0.0,0.0,1.67999994754791,0.0,32.1264991760254,2.30599999427795,6.0
InChI%3D1S%2FC22H17ClF3N3O7%2Fc1-33-18%2830%2921-10-12-9-13%2823%293-8-16%2812%2917%2821%2927-28%2811-35-21%2919%2831%2929%2820%2832%2934-2%2914-4-6-15%287-5-14%2936-22%2824%2C25%2926%2Fh3-9H%2C10-11H2%2C1-2H3,53.0,12.0,0.0,1.0,6.37057590484619,,2.5239999294281,12.0,7.0,22.0,2.33999991416931,9.0,67.4766006469727,5.29500007629395,39.0
InChI%3D1S%2FC12H17NO%2Fc1-4-13%285-2%2912%2814%2911-8-6-7-10%283%299-11%2Fh6-9H%2C4-5H2%2C1-3H3,43.0,6.0,2.0,0.0,0.394258409738541,,0.627900004386902,6.0,5.0,7.0,2.33999991416931,5.0,89.6020965576172,0.685000002384186,26.0
InChI%3D1S%2FC6H4Cl2N2O2%2Fc7-4-1-3%2810%2811%2912%292-5%288%296%284%299%2Fh1-2H%2C9H2,16.0,6.0,0.0,0.0,0.479002416133881,,0.692099988460541,6.0,2.0,10.0,1.46000003814697,1.0,81.5868988037109,1.84500002861023,12.0
InChI%3D1S%2FC17H14ClF7O2%2Fc1-6-11%2819%2913%2821%297%2814%2822%2912%286%2920%295-27-15%2826%2910-8%2816%2810%2C2%293%294-9%2818%2917%2823%2C24%2925%2Fh4%2C8%2C10H%2C5H2%2C1-3H3,29.0,6.0,0.0,0.0,2.01129126548767,,1.41820001602173,6.0,8.0,10.0,1.35000002384186,5.0,72.1449966430664,-0.136999994516373,20.0
InChI%3D1S%2FC14H17Cl2N3O%2Fc1-2-3-6-14%2820%2C8-19-10-17-9-18-19%2912-5-4-11%2815%297-13%2812%2916%2Fh4-5%2C7%2C9-10%2C20H%2C2-3%2C6%2C8H2%2C1H3,24.0,6.0,0.0,0.0,3.32734084129333,,1.82410001754761,6.0,6.0,10.0,1.89999997615814,2.0,62.086799621582,2.31599998474121,14.0
InChI%3D1S%2FC8H14ClN5%2Fc1-4-10-7-12-6%289%2913-8%2814-7%2911-5%282%293%2Fh5H%2C4H2%2C1-3H3%2C%28H2%2C10%2C11%2C12%2C13%2C14%29,34.0,12.0,3.0,0.0,0.955310761928558,2.0,0.977400004863739,12.0,4.0,13.0,2.67000007629395,3.0,91.1882019042969,2.3970000743866,21.0
InChI%3D1S%2FC12H7Cl3O2%2Fc13-7-1-3-11%289%2815%295-7%2917-12-4-2-8%2814%296-10%2812%2916%2Fh1-6%2C16H,24.0,12.0,0.0,0.0,2.61954236030579,,1.61849999427795,12.0,0.0,14.0,2.23000001907349,2.0,21.0305004119873,4.00899982452393,18.0
