SMILES,nAromBond,nAtomLC,ALogp2,nAtom,MLogP,nAtomP,nAtomLAC,LipinskiFailures,XLogP,nHBDon,ALogP,nB,nRotB,AMR,naAromAtom
InChI%3D1S%2FC13H17NO4%2Fc1-3-7-17-12%2815%2910-5-6-11%2814-9-10%2913%2816%2918-8-4-2%2Fh5-6%2C9H%2C3-4%2C7-8H2%2C1-2H3,6.0,6.0,0.399929761886597,35.0,2.33999991416931,12.0,3.0,0.0,1.22899997234344,,-0.63239997625351,18.0,8.0,39.6283988952637,6.0
InChI%3D1S%2FC15H8Cl2FNO%2Fc16-9-7-12%2817%2915-13%288-9%2919-6-5-14%2815%2920-11-3-1-10%2818%292-4-11%2Fh1-8H,12.0,0.0,6.1652889251709,27.0,2.45000004768372,7.0,0.0,0.0,2.26699995994568,,2.48300004005432,18.0,2.0,76.7157974243164,12.0
InChI%3D1S%2FC9H17ClN3O3PS%2Fc1-5-14-17%2818%2C15-6-2%2916-9-11-8%2810%2913%2812-9%297%283%294%2Fh7H%2C5-6H2%2C1-4H3,11.0,3.0,6.08510208129883,46.0,2.33999991416931,14.0,0.0,0.0,1.31200003623962,,2.46679997444153,29.0,2.0,76.4418029785156,11.0
InChI%3D1S%2FC12H11NO2%2Fc1-13-12%2814%2915-11-8-4-6-9-5-2-3-7-10%289%2911%2Fh2-8H%2C1H3%2C%28H%2C13%2C14%29,6.0,0.0,3.01439046859741,14.0,1.89999997615814,7.0,0.0,0.0,0.439999997615814,,1.41760003566742,8.0,0.0,63.7247009277344,6.0
InChI%3D1S%2FC19H15FN2O4%2Fc1-2-7-21-15-9-14%2813%2820%298-16%2815%2926-10-17%2821%2923%2922-18%2824%2911-5-3-4-6-12%2811%2919%2822%2925%2Fh1%2C8-9H%2C3-7%2C10H2,6.0,3.0,0.752382755279541,41.0,2.77999997138977,17.0,3.0,0.0,1.38100004196167,,-0.867399990558624,29.0,2.0,62.7868995666504,6.0
InChI%3D1S%2FC19H17ClN4%2Fc20-18-8-6-16%287-9-18%2910-11-19%2812-21%2C13-24-15-22-14-23-24%2917-4-2-1-3-5-17%2Fh1-9%2C14-15H%2C10-11%2C13H2,17.0,6.0,0.196160405874252,41.0,3.0,6.0,4.0,1.0,5.86899995803833,,0.442900002002716,26.0,6.0,143.097305297852,12.0
InChI%3D1S%2FC10H19O6PS2%2Fc1-5-15-9%2811%297-8%2810%2812%2916-6-2%2919-17%2818%2C13-3%2914-4%2Fh8H%2C5-7H2%2C1-4H3,0.0,19.0,3.85768890380859,38.0,1.57000005245209,4.0,4.0,1.0,2.00699996948242,0.0,1.96410000324249,18.0,11.0,77.2726974487305,0.0
InChI%3D1S%2FC10H9ClN4S%2Fc11-9-2-1-8%285-13-9%296-15-3-4-16-10%2815%2914-7-12%2Fh1-2%2C5H%2C3-4%2C6H2,6.0,3.0,1.78436160087585,25.0,1.89999997615814,6.0,0.0,0.0,2.14400005340576,,1.33580005168915,17.0,2.0,43.3875999450684,6.0
InChI%3D1S%2FC15H12F4N4O7S%2Fc1-28-11%2824%297-4-2-3-5-8%287%2931%2826%2C27%2923-15%2825%2922-14-20-9%2829-12%2816%2917%296-10%2821-14%2930-13%2818%2919%2Fh2-6%2C12-13H%2C1H3%2C%28H2%2C20%2C21%2C22%2C23%2C25%29,12.0,7.0,2.77222490310669,43.0,1.35000002384186,24.0,0.0,0.0,0.970000028610229,,1.66499996185303,32.0,10.0,95.3277969360352,12.0
InChI%3D1S%2FC22H23NO3%2Fc1-21%282%2919%2822%2821%2C3%294%2920%2824%2926-18%2814-23%2915-9-8-12-17%2813-15%2925-16-10-6-5-7-11-16%2Fh5-13%2C18-19H%2C1-4H3,6.0,0.0,5.27253437042236,18.0,2.33999991416931,6.0,0.0,0.0,2.8659999370575,,2.29620003700256,8.0,0.0,39.5197982788086,6.0
InChI%3D1S%2FC11H15NO3%2Fc1-8%282%2914-9-6-4-5-7-10%289%2915-11%2813%2912-3%2Fh4-8H%2C1-3H3%2C%28H%2C12%2C13%29,6.0,5.0,1.75403535366058,30.0,2.23000001907349,11.0,0.0,0.0,2.27300000190735,,1.32439994812012,15.0,4.0,38.3759002685547,6.0
InChI%3D1S%2FC14H15N5O6S%2Fc1-8-15-12%2818-14%2816-8%2925-3%2917-13%2821%2919-26%2822%2C23%2910-7-5-4-6-9%2810%2911%2820%2924-2%2Fh4-7H%2C1-3H3%2C%28H2%2C15%2C16%2C17%2C18%2C19%2C21%29,6.0,7.0,,41.0,1.67999994754791,23.0,0.0,1.0,1.43900001049042,,-1.78779995441437,27.0,6.0,,6.0
InChI%3D1S%2FC9H9Cl2NO%2Fc1-2-9%2813%2912-6-3-4-7%2810%298%2811%295-6%2Fh3-5H%2C2H2%2C1H3%2C%28H%2C12%2C13%29,6.0,11.0,6.29909610748291,47.0,2.89000010490417,9.0,4.0,0.0,3.57200002670288,,0.42519998550415,21.0,10.0,98.4860992431641,6.0
InChI%3D1S%2FC15H19N3O3%2Fc1-5-9-6-10%2813%2819%2920%2911%2816-7-9%2912-17-14%2821%2915%284%2C18-12%298%282%293%2Fh6-8H%2C5H2%2C1-4H3%2C%28H%2C19%2C20%29%28H%2C17%2C18%2C21%29,6.0,2.0,0.204032883048058,40.0,2.45000004768372,14.0,2.0,0.0,2.49499988555908,,-0.451700001955032,22.0,4.0,,6.0
InChI%3D1S%2FC13H23N2O3PS%2Fc1-7-16-19%2820%2C17-10%282%293%2918-11-8-14-12%2815-9-11%2913%284%2C5%296%2Fh8-10H%2C7H2%2C1-6H3,12.0,5.0,0.81703519821167,49.0,3.22000002861023,8.0,4.0,0.0,1.39100003242493,,0.903900027275085,28.0,6.0,104.847602844238,12.0
InChI%3D1S%2FC15H16O2%2Fc1-15%282%2C11-3-7-13%2816%298-4-11%2912-5-9-14%2817%2910-6-12%2Fh3-10%2C16-17H%2C1-2H3,0.0,3.0,2.6153359413147,5.0,1.24000000953674,0.0,0.0,0.0,2.07399988174438,,1.6172000169754,3.0,0.0,21.364200592041,0.0
InChI%3D1S%2FC14H18N4O3%2Fc1-3-4-9-15-13%2819%2918-11-8-6-5-7-10%2811%2916-12%2818%2917-14%2820%2921-2%2Fh5-8H%2C3-4%2C9H2%2C1-2H3%2C%28H%2C15%2C19%29%28H%2C16%2C17%2C20%29,6.0,0.0,,29.0,2.67000007629395,6.0,0.0,0.0,2.51300001144409,,,14.0,1.0,,6.0
InChI%3D1S%2FC19H15ClF3NO7%2Fc1-3-29-17%2825%2910%282%2930-18%2826%2913-9-12%285-6-15%2813%2924%2827%2928%2931-16-7-4-11%288-14%2816%2920%2919%2821%2C22%2923%2Fh4-10H%2C3H2%2C1-2H3,12.0,10.0,0.946145296096802,46.0,2.23000001907349,19.0,3.0,0.0,,,0.972699999809265,32.0,10.0,40.3573989868164,12.0
InChI%3D1S%2FC18H24N2O4%2Fc1-6-18%283%2C7-2%2914-11-15%2824-20-14%2919-17%2821%2916-12%2822-4%299-8-10-13%2816%2923-5%2Fh8-11H%2C6-7H2%2C1-5H3%2C%28H%2C19%2C21%29,6.0,0.0,0.224391683936119,13.0,1.46000003814697,7.0,0.0,0.0,4.5,,3.10380005836487,12.0,0.0,84.8880996704102,6.0
InChI%3D1S%2FC13H22NO3PS%2Fc1-6-16-18%2815%2C14-10%282%293%2917-12-7-8-13%2819-5%2911%284%299-12%2Fh7-10H%2C6H2%2C1-5H3%2C%28H%2C14%2C15%29,6.0,10.0,,41.0,2.23000001907349,11.0,2.0,0.0,2.33400011062622,,0.0295000001788139,19.0,7.0,,6.0
InChI%3D1S%2FC15H16Cl3N3O2%2Fc1-2-4-20%2815%2822%2921-5-3-19-10-21%296-7-23-14-12%2817%298-11%2816%299-13%2814%2918%2Fh3%2C5%2C8-10H%2C2%2C4%2C6-7H2%2C1H3,6.0,9.0,0.00808200985193253,41.0,2.23000001907349,7.0,3.0,0.0,3.51600003242493,,0.0899000018835068,24.0,8.0,95.2766036987305,6.0
InChI%3D1S%2FC21H22ClNO4%2Fc1-25-19-8-5-16%2813-20%2819%2926-2%2918%2815-3-6-17%2822%297-4-15%2914-21%2824%2923-9-11-27-12-10-23%2Fh3-8%2C13-14H%2C9-12H2%2C1-2H3,12.0,4.0,1.46434199810028,49.0,3.10999989509583,19.0,3.0,0.0,3.55299997329712,,1.21010005474091,29.0,6.0,114.407402038574,12.0
InChI%3D1S%2FC17H9ClF8N2O4%2Fc18-8-6-7%284-5-11%288%2931-16%2822%2C23%2914%2821%2932-17%2824%2C25%2926%2927-15%2830%2928-13%2829%2912-9%2819%292-1-3-10%2812%2920%2Fh1-6%2C14H%2C%28H2%2C27%2C28%2C29%2C30%29,12.0,11.0,,41.0,1.67999994754791,19.0,2.0,0.0,3.74399995803833,,,33.0,8.0,,12.0
InChI%3D1S%2FC12H15ClNO4PS2%2Fc1-3-16-19%2820%2C17-4-2%2921-8-14-10-6-5-9%2813%297-11%2810%2918-12%2814%2915%2Fh5-7H%2C3-4%2C8H2%2C1-2H3,0.0,3.0,2.6153359413147,5.0,1.24000000953674,0.0,0.0,0.0,2.07399988174438,,1.6172000169754,3.0,0.0,21.364200592041,0.0
InChI%3D1S%2FC20H18ClF3N2O6%2Fc1-5-8-31-17%2829%2919%282%2C3%2932-16%2828%2912-9-11%286-7-13%2812%2921%2926-15%2827%2910-14%2820%2822%2C23%2924%2925%284%2918%2826%2930%2Fh5-7%2C9-10H%2C1%2C8H2%2C2-4H3,0.0,3.0,2.64517688751221,26.0,2.00999999046326,8.0,2.0,0.0,0.865000009536743,,-1.62639999389648,13.0,3.0,49.7803001403809,0.0
InChI%3D1S%2FC18H24ClN3O%2Fc1-6-14-15%2819%2916%2822%285%2921-14%2917%2823%2920-11-12-7-9-13%2810-8-12%2918%282%2C3%294%2Fh7-10H%2C6%2C11H2%2C1-5H3%2C%28H%2C20%2C23%29,6.0,4.0,1.91185927391052,51.0,2.89000010490417,6.0,2.0,0.0,3.63299989700317,,1.38269996643066,24.0,6.0,82.6396026611328,6.0
InChI%3D1S%2FC3H2N2S2%2Fc4-1-6-3-7-2-5%2Fh3H2,0.0,7.0,2.12139225006104,9.0,1.35000002384186,2.0,0.0,0.0,0.395999997854233,,1.45650005340576,6.0,2.0,33.1320991516113,0.0
InChI%3D1S%2FC10H10Cl2O3%2Fc11-7-3-4-9%288%2812%296-7%2915-5-1-2-10%2813%2914%2Fh3-4%2C6H%2C1-2%2C5H2%2C%28H%2C13%2C14%29,6.0,7.0,1.12042224407196,25.0,2.00999999046326,7.0,4.0,0.0,2.10800004005432,,1.05850005149841,15.0,5.0,60.7272987365723,6.0
InChI%3D1S%2FC21H24Cl2O4%2Fc1-4-20%282%2C3%2919%2825%2926-17-16%2813-10-14%2822%2912-15%2823%2911-13%2918%2824%2927-21%2817%298-6-5-7-9-21%2Fh10-12H%2C4-9H2%2C1-3H3,6.0,8.0,2.94191098213196,51.0,3.10999989509583,14.0,4.0,1.0,5.46799993515015,,1.71519994735718,29.0,5.0,,6.0
InChI%3D1S%2FC6H10N6%2Fc7-4-10-5%288%2912-6%2811-4%299-3-1-2-3%2Fh3H%2C1-2H2%2C%28H5%2C7%2C8%2C9%2C10%2C11%2C12%29,0.0,0.0,0.375891596078873,22.0,1.46000003814697,9.0,0.0,0.0,2.08200001716614,5.0,-0.613099992275238,13.0,1.0,35.2267990112305,0.0
InChI%3D1S%2FC7H5Cl2FN2O3%2Fc8-3-5%2811%294%289%297%2812-6%283%2910%2915-1-2%2813%2914%2Fh1H2%2C%28H2%2C11%2C12%29%28H%2C13%2C14%29,17.0,8.0,3.9338755607605,43.0,2.77999997138977,18.0,3.0,0.0,2.60599994659424,,1.98339998722076,28.0,7.0,30.9557991027832,16.0
InChI%3D1S%2FC6H3Cl2NO2%2Fc7-3-1-2-4%288%299-5%283%296%2810%2911%2Fh1-2H%2C%28H%2C10%2C11%29,6.0,2.0,0.171478807926178,14.0,1.57000005245209,9.0,0.0,0.0,1.60199999809265,,1.0382000207901,11.0,1.0,223.992294311523,6.0
InChI%3D1S%2FC17H29NO3S%2Fc1-5-8-14%2818-21-6-2%2917-15%2819%2910-13%2811-16%2817%2920%299-12%284%2922-7-3%2Fh12-13%2C19H%2C5-11H2%2C1-4H3,0.0,8.0,0.107125289738178,51.0,2.77999997138977,8.0,4.0,0.0,3.98200011253357,1.0,0.327300012111664,22.0,9.0,91.3720016479492,0.0
InChI%3D1S%2FC22H18N2O4%2Fc1-22%2816-12-14-19%2815-13-16%2927-18-10-6-3-7-11-18%2920%2825%2924%2821%2826%2928-22%2923-17-8-4-2-5-9-17%2Fh2-15%2C23H%2C1H3,18.0,0.0,0.393630772829056,46.0,3.22000002861023,13.0,0.0,1.0,7.47100019454956,,-0.627399981021881,31.0,5.0,,18.0
InChI%3D1S%2FC14H8Cl2N4%2Fc15-11-7-3-1-5-9%2811%2913-17-19-14%2820-18-13%2910-6-2-4-8-12%2810%2916%2Fh1-8H,0.0,5.0,,34.0,2.77999997138977,6.0,4.0,0.0,3.65000009536743,,,14.0,2.0,,0.0
InChI%3D1S%2FC10H5Cl2NO2%2Fc11-6-3-5-1-2-7%2812%298%2810%2814%2915%299%285%2913-4-6%2Fh1-4H%2C%28H%2C14%2C15%29,6.0,0.0,0.462264001369476,23.0,1.89999997615814,14.0,0.0,0.0,1.817999958992,,0.679899990558624,15.0,1.0,53.1337013244629,6.0
InChI%3D1S%2FC14H14F3N5O6S.Na%2Fc1-26-9-6-10%2827-2%2920-12%2819-9%2921-13%2823%2922-29%2824%2C25%2911-8%284-3-5-18-11%2928-7-14%2815%2C16%2917%3B%2Fh3-6H%2C7H2%2C1-2H3%2C%28H2%2C19%2C20%2C21%2C22%2C23%29%3B%2Fq%3B%2B1%2Fp-1,12.0,7.0,,43.0,1.24000000953674,22.0,2.0,0.0,0.653999984264374,,,30.0,9.0,,12.0
InChI%3D1S%2FC10H11F3N2O%2Fc1-15%282%299%2816%2914-8-5-3-4-7%286-8%2910%2811%2C12%2913%2Fh3-6H%2C1-2H3%2C%28H%2C14%2C16%29,6.0,6.0,3.95691657066345,27.0,1.89999997615814,10.0,0.0,0.0,2.04200005531311,,1.98919999599457,16.0,3.0,57.8689002990723,6.0
InChI%3D1S%2FC23H22O6%2Fc1-11%282%2916-8-14-15%2828-16%296-5-12-22%2824%2921-13-7-18%2825-3%2919%2826-4%299-17%2813%2927-10-20%2821%2929-23%2812%2914%2Fh5-7%2C9%2C16%2C20-21H%2C1%2C8%2C10H2%2C2-4H3,12.0,2.0,0.0192376896739006,51.0,3.32999992370605,10.0,0.0,0.0,2.07599997520447,,0.138699993491173,33.0,3.0,114.148902893066,12.0
InChI%3D1S%2FC32H46O7%2Fc1-6-27-21%284%2912-13-31%2839-27%2917-25-16-24%2838-31%2911-10-20%283%2914-19%282%298-7-9-23-18-36-29-28%2833%2922%285%2915-26%2830%2834%2937-25%2932%2823%2C29%2935%2Fh7-10%2C15%2C19%2C21%2C24-29%2C33%2C35H%2C6%2C11-14%2C16-18H2%2C1-5H3,0.0,2.0,0.196160405874252,85.0,4.21000003814697,4.0,2.0,0.0,3.43099999427795,,0.442900002002716,43.0,1.0,143.097305297852,0.0
InChI%3D1S%2FC15H16F5NO2S2%2Fc1-6%282%295-7-8%2813%2822%2924-3%2910%2812%2816%2917%2921-11%2815%2818%2C19%2920%299%287%2914%2823%2925-4%2Fh6%2C12H%2C5H2%2C1-4H3,0.0,19.0,3.85768890380859,38.0,1.57000005245209,4.0,4.0,1.0,2.00699996948242,,1.96410000324249,18.0,11.0,,0.0
InChI%3D1S%2FC13H14F3N3O4%2Fc1-4-17%287-8%282%293%2912-10%2818%2820%2921%295-9%2813%2814%2C15%2916%296-11%2812%2919%2822%2923%2Fh5-6H%2C2%2C4%2C7H2%2C1%2C3H3,6.0,3.0,0.773696184158325,25.0,1.89999997615814,6.0,0.0,0.0,0.962999999523163,,0.879599988460541,17.0,2.0,68.2354965209961,6.0
InChI%3D1S%2FC7H7Cl3NO3PS%2Fc1-12-15%2816%2C13-2%2914-7-5%289%293-4%288%296%2810%2911-7%2Fh3H%2C1-2H3,6.0,7.0,9.1645450592041,23.0,1.24000000953674,11.0,0.0,0.0,3.36999988555908,,3.02729988098145,16.0,4.0,47.7263984680176,6.0
InChI%3D1S%2FC5H12NO3PS2%2Fc1-6-5%287%294-12-10%2811%2C8-2%299-3%2Fh4H2%2C1-3H3%2C%28H%2C6%2C7%29,12.0,7.0,2.77222490310669,43.0,1.35000002384186,24.0,0.0,0.0,0.970000028610229,1.0,1.66499996185303,32.0,10.0,95.3277969360352,12.0
InChI%3D1S%2FC7H3Br2NO%2Fc8-5-1-4%283-10%292-6%289%297%285%2911%2Fh1-2%2C11H,6.0,2.0,2.5115909576416,14.0,1.78999996185303,9.0,0.0,0.0,1.88199996948242,,1.58480000495911,11.0,0.0,52.6082000732422,6.0
InChI%3D1S%2FC11H20N3O3PS%2Fc1-6-14%287-2%2911-12-9%283%298-10%2813-11%2917-18%2819%2C15-4%2916-5%2Fh8H%2C6-7H2%2C1-5H3,6.0,7.0,,39.0,1.78999996185303,12.0,2.0,0.0,3.20300006866455,,,19.0,7.0,,6.0
InChI%3D1S%2FC11H9Cl2NO3%2Fc12-6-1-2-8%287%2813%295-6%2914-9%2815%2911%283-4-11%2910%2816%2917%2Fh1-2%2C5H%2C3-4H2%2C%28H%2C14%2C15%29%28H%2C16%2C17%29,6.0,3.0,0.850452840328217,26.0,2.00999999046326,9.0,0.0,0.0,2.60599994659424,,0.92220002412796,18.0,3.0,,6.0
InChI%3D1S%2FC4H8N2S4.Mn%2Fc7-3%288%295-1-2-6-4%289%2910%3B%2Fh1-2H2%2C%28H2%2C5%2C7%2C8%29%28H2%2C6%2C9%2C10%29%3B%2Fq%3B%2B2%2Fp-2,0.0,9.0,,20.0,1.67999994754791,3.0,3.0,0.0,0.954999983310699,0.0,,8.0,5.0,,0.0
InChI%3D1S%2FC13H10Cl2FN5O3S%2Fc1-2-24-13-17-9%2816%296-10-18-12%2819-21%2810%2913%2925%2822%2C23%2920-11-7%2814%294-3-5-8%2811%2915%2Fh3-6%2C20H%2C2H2%2C1H3,16.0,4.0,0.999400079250336,35.0,1.57000005245209,20.0,2.0,0.0,2.47099995613098,,0.999700009822845,27.0,5.0,38.0640983581543,15.0
InChI%3D1S%2FC17H17N3OS%2Fc1-17%2813-9-5-3-6-10-13%2915%2821%2920%2816%2818-17%2922-2%2919-14-11-7-4-8-12-14%2Fh3-12%2C19H%2C1-2H3,12.0,2.0,0.119301162660122,39.0,2.77999997138977,12.0,0.0,1.0,6.29500007629395,,0.345400005578995,24.0,4.0,38.4668998718262,12.0
InChI%3D1S%2FC12H14N4O4S2%2Fc1-19-11%2817%2915-9%2821%2913-7-5-3-4-6-8%287%2914-10%2822%2916-12%2818%2920-2%2Fh3-6H%2C1-2H3%2C%28H2%2C13%2C15%2C17%2C21%29%28H2%2C14%2C16%2C18%2C22%29,6.0,8.0,,36.0,1.67999994754791,18.0,0.0,0.0,1.15400004386902,,2.48860001564026,22.0,6.0,,6.0
InChI%3D1S%2FC12H4Cl2F6N4OS%2Fc13-5-1-4%2811%2815%2C16%2917%292-6%2814%298%285%2924-10%2822%299%287%283-21%2923-24%2926%2825%2912%2818%2C19%2920%2Fh1-2H%2C22H2,6.0,3.0,5.30611228942871,23.0,1.78999996185303,11.0,2.0,0.0,,,2.3034999370575,13.0,3.0,80.3831024169922,6.0
InChI%3D1S%2FC17H18N4O6S%2Fc1-10-7-11%282%2919-16%2818-10%2920-17%2823%2921-28%2824%2C25%2914-6-4-3-5-13%2814%2915%2822%2927-12-8-26-9-12%2Fh3-7%2C12H%2C8-9H2%2C1-2H3%2C%28H2%2C18%2C19%2C20%2C21%2C23%29,12.0,7.0,,46.0,2.11999988555908,22.0,0.0,0.0,2.54200005531311,,0.106899999082088,30.0,7.0,,12.0
InChI%3D1S%2FC14H20ClNO2%2Fc1-4-12-8-6-7-11%283%2914%2812%2916%2810-18-5-2%2913%2817%299-15%2Fh6-8H%2C4-5%2C9-10H2%2C1-3H3,6.0,9.0,2.64420127868652,38.0,2.55999994277954,9.0,2.0,0.0,3.79500007629395,,1.62609994411469,18.0,7.0,,6.0
InChI%3D1S%2FC6H3Cl3N2O2%2Fc7-1-3%2810%292%288%295%289%2911-4%281%296%2812%2913%2Fh%28H2%2C10%2C11%29%28H%2C12%2C13%29,6.0,2.0,0.0961000025272369,16.0,1.35000002384186,10.0,0.0,0.0,-1.02900004386902,2.0,0.310000002384186,13.0,1.0,52.5013008117676,6.0
InChI%3D1S%2FC12H12ClN5O4S%2Fc1-7-14-10%2817-12%2815-7%2922-2%2916-11%2819%2918-23%2820%2C21%299-6-4-3-5-8%289%2913%2Fh3-6H%2C1-2H3%2C%28H2%2C14%2C15%2C16%2C17%2C18%2C19%29,0.0,10.0,0.568817615509033,28.0,2.11999988555908,0.0,3.0,0.0,3.71399998664856,,0.754199981689453,9.0,7.0,52.0564002990723,0.0
InChI%3D1S%2FC8H16NO5P%2Fc1-7%286-8%2810%299%282%293%2914-15%2811%2C12-4%2913-5%2Fh6H%2C1-5H3,0.0,15.0,0.000870249990839511,31.0,1.57000005245209,10.0,4.0,0.0,-0.345999985933304,,0.0295000001788139,14.0,6.0,56.540699005127,0.0
InChI%3D1S%2FC17H17N3O3%2Fc1-9%282%2917%283%2916%2823%2919-14%2820-17%2913-11%2815%2821%2922%298-10-6-4-5-7-12%2810%2918-13%2Fh4-9H%2C1-3H3%2C%28H%2C21%2C22%29%28H%2C19%2C20%2C23%29,0.0,6.0,1.53636026382446,9.0,1.24000000953674,0.0,2.0,0.0,1.33700001239777,,1.23950004577637,5.0,1.0,28.215799331665,0.0
InChI%3D1S%2FC14H16ClO5PS%2Fc1-4-17-21%2822%2C18-5-2%2920-10-6-7-11-9%283%2913%2815%2914%2816%2919-12%2811%298-10%2Fh6-8H%2C4-5H2%2C1-3H3,6.0,9.0,9.07093906402588,38.0,2.11999988555908,16.0,2.0,0.0,3.89599990844727,,3.01180005073547,23.0,6.0,92.9802017211914,6.0
InChI%3D1S%2FC17H13ClFNO4%2Fc1-3-8-22-17%2821%2911%282%2923-13-4-6-14%287-5-13%2924-16-15%2819%299-12%2818%2910-20-16%2Fh1%2C4-7%2C9-11H%2C8H2%2C2H3,12.0,11.0,24.0933723449707,41.0,1.67999994754791,19.0,2.0,0.0,3.74399995803833,,4.90850019454956,33.0,8.0,40.5047988891602,12.0
InChI%3D1S%2FC9H16ClN5%2Fc1-5%282%2911-8-13-7%2810%2914-9%2815-8%2912-6%283%294%2Fh5-6H%2C1-4H3%2C%28H2%2C11%2C12%2C13%2C14%2C15%29,6.0,12.0,0.678481698036194,50.0,2.33999991416931,17.0,3.0,0.0,2.41400003433228,,0.82370001077652,33.0,9.0,67.0721969604492,6.0
InChI%3D1S%2FC13H18O5S%2Fc1-5-16-12-13%282%2C3%2910-8-9%2818-19%284%2C14%2915%296-7-11%2810%2917-12%2Fh6-8%2C12H%2C5H2%2C1-4H3,6.0,7.0,1.12042224407196,25.0,2.00999999046326,7.0,4.0,0.0,2.10800004005432,,1.05850005149841,15.0,5.0,,6.0
InChI%3D1S%2FC19H30O5%2Fc1-3-5-7-20-8-9-21-10-11-22-14-17-13-19-18%2823-15-24-19%2912-16%2817%296-4-2%2Fh12-13H%2C3-11%2C14-15H2%2C1-2H3,6.0,12.0,1.94435131549835,54.0,3.0,8.0,4.0,1.0,3.76500010490417,,-1.3944000005722,25.0,13.0,66.0001983642578,6.0
InChI%3D1S%2FC15H22ClNO2%2Fc1-5-13-8-6-7-11%282%2915%2813%2917%2814%2818%299-16%2912%283%2910-19-4%2Fh6-8%2C12H%2C5%2C9-10H2%2C1-4H3,12.0,4.0,5.09766101837158,26.0,2.11999988555908,16.0,0.0,0.0,1.38300001621246,,2.25780010223389,19.0,3.0,79.9912033081055,12.0
InChI%3D1S%2FC9H18NO3PS2%2Fc1-4-8%283%2916-14%2812%2C13-5-2%2910-6-7-15-9%2810%2911%2Fh8H%2C4-7H2%2C1-3H3,6.0,3.0,1.08451390266418,16.0,1.12999999523163,12.0,0.0,0.0,1.54999995231628,0.0,1.04139995574951,15.0,2.0,68.8597030639648,6.0
InChI%3D1S%2FC17H19F3N6O6S%2Fc1-9-6-5-7-10%2812%2827%2931-4%2911%289%2933%2829%2C30%2925-15%2828%2922-13-21-14%2826%282%293%2924-16%2823-13%2932-8-17%2818%2C19%2920%2Fh5-7H%2C8H2%2C1-4H3%2C%28H2%2C21%2C22%2C23%2C24%2C25%2C28%29,0.0,0.0,0.375891596078873,22.0,1.46000003814697,9.0,0.0,0.0,2.08200001716614,,-0.613099992275238,13.0,1.0,35.2267990112305,0.0
InChI%3D1S%2FC17H12Cl2N2O%2Fc18-14-7-5-12%286-8-14%2917%2822%2C13-9-20-11-21-10-13%2915-3-1-2-4-16%2815%2919%2Fh1-11%2C22H,0.0,6.0,0.135350406169891,14.0,1.89999997615814,2.0,5.0,0.0,0.386999994516373,,0.367900013923645,5.0,1.0,97.0450973510742,0.0
InChI%3D1S%2FC11H13NO4%2Fc1-11%282%2915-8-6-4-5-7%289%288%2916-11%2914-10%2813%2912-3%2Fh4-6H%2C1-3H3%2C%28H%2C12%2C13%29,6.0,5.0,0.0126787601038814,29.0,2.11999988555908,12.0,0.0,0.0,2.43400001525879,,0.11259999871254,17.0,2.0,61.5192985534668,6.0
InChI%3D1S%2F3C6H5.H2O.Sn%2Fc3%2A1-2-4-6-5-3-1%3B%3B%2Fh3%2A1-5H%3B1H2%3B%2Fq%3B%3B%3B%3B%2B1%2Fp-1,18.0,0.0,,39.0,3.22000002861023,6.0,0.0,0.0,,,,18.0,0.0,,18.0
InChI%3D1S%2FC21H20Cl2O3%2Fc1-21%282%2917%2812-18%2822%2923%2919%2821%2920%2824%2925-13-14-7-6-10-16%2811-14%2926-15-8-4-3-5-9-15%2Fh3-12%2C17%2C19H%2C13H2%2C1-2H3,12.0,4.0,0.213166892528534,46.0,3.22000002861023,13.0,2.0,1.0,7.31300020217896,,1.8532999753952,28.0,7.0,44.5610008239746,12.0
