SMILES,LipinskiFailures,ALogp2,AMR,nAtomLC,nAtomP,nAtomLAC,nAtom,nAromBond,nHBDon,ALogP,naAromAtom,nB,MLogP,nRotB,XLogP
InChI%3D1S%2FC18H18ClN5O4%2Fc1-18%287-25%2C8-26%2917-21-15%2822-28-17%2914-12-6-23%282%2916%2827%2913-10%2819%294-3-5-11%2813%2924%2812%299-20-14%2Fh3-5%2C9%2C25-26H%2C6-8H2%2C1-2H3,0.0,1.56100034713745,106.108001708984,6.0,10.0,3.0,54.0,6.0,,-1.24940001964569,6.0,31.0,2.33999991416931,4.0,0.720000028610229
InChI%3D1S%2FC21H26NO3%2Fc1-22%282%2915-9-14-19%2816-22%2925-20%2823%2921%2824%2C17-10-5-3-6-11-17%2918-12-7-4-8-13-18%2Fh3-8%2C10-13%2C19%2C24H%2C9%2C14-16H2%2C1-2H3%2Fq%2B2%2Ft19-%2Fm0%2Fs1,0.0,0.0692742392420769,100.66960144043,5.0,6.0,2.0,51.0,12.0,,-0.263200014829636,12.0,27.0,3.32999992370605,5.0,1.7150000333786
InChI%3D1S%2FC18H27Cl2NO2%2Fc1-18%282%2C3%2923-17%2822%296-4-5-15-7-9-16%2810-8-15%2921%2813-11-19%2914-12-20%2Fh7-10H%2C4-6%2C11-14H2%2C1-3H3,1.0,9.36910915374756,100.159797668457,10.0,7.0,4.0,50.0,6.0,,3.06089997291565,6.0,23.0,2.89000010490417,11.0,4.83199977874756
InChI%3D1S%2FC11H16N4O4%2Fc16-3-8-6%2817%291-9%2819-8%2915-5-14-10-7%2818%292-12-4-13-11%2810%2915%2Fh4-9%2C16-18H%2C1-3H2%2C%28H%2C12%2C13%29%2Ft6%3F%2C7-%2C8-%2C9-%2Fm1%2Fs1,0.0,8.45879077911377,61.8916015625,2.0,3.0,0.0,39.0,0.0,,-2.90840005874634,0.0,21.0,1.78999996185303,2.0,-1.68700003623962
InChI%3D1S%2FC9H8O4%2Fc1-6%2810%2913-8-5-3-2-4-7%288%299%2811%2912%2Fh2-5H%2C1H3%2C%28H%2C11%2C12%29,0.0,0.193599998950958,47.9987983703613,4.0,12.0,2.0,21.0,6.0,,0.439999997615814,6.0,13.0,2.00999999046326,3.0,0.670000016689301
InChI%3D1S%2FC10H12N2O4%2Fc1-6-4-12%2810%2815%2911-9%286%2914%298-3-2-7%285-13%2916-8%2Fh2-4%2C7-8%2C13H%2C5H2%2C1H3%2C%28H%2C11%2C14%2C15%29%2Ft7-%2C8%2B%2Fm0%2Fs1,0.0,0.746496021747589,54.7220993041992,1.0,4.0,0.0,32.0,0.0,,-0.864000022411346,0.0,17.0,1.89999997615814,2.0,-0.763999998569489
InChI%3D1S%2FC23H30NO3%2Fc1-16%282%2924%285%2C17%283%294%2914-15-26-23%2825%2922-18-10-6-8-12-20%2818%2927-21-13-9-7-11-19%2821%2922%2Fh6-13%2C16-17%2C22H%2C14-15H2%2C1-5H3%2Fq%2B1,0.0,0.00670761009678245,115.1708984375,13.0,13.0,3.0,57.0,12.0,0.0,-0.0819000005722046,12.0,29.0,3.54999995231628,7.0,2.89400005340576
InChI%3D1S%2FC9H14N5O4%2Fc10-9-12-7-6%288%2817%2913-9%2911-3-14%287%294-18-5%281-15%292-16%2Fh3%2C5%2C11%2C15-16H%2C1-2%2C4H2%2C%28H3%2C10%2C12%2C13%29%2Fq-1,1.0,13.9674110412598,54.1810989379883,7.0,10.0,3.0,33.0,0.0,,-3.73729991912842,0.0,19.0,1.46000003814697,5.0,-2.40400004386902
InChI%3D1S%2FC7H6ClN3O4S2%2Fc8-4-1-5-7%282-6%284%2916%289%2C12%2913%2917%2814%2C15%2911-3-10-5%2Fh1-3H%2C%28H%2C10%2C11%29%28H2%2C9%2C12%2C13%29,0.0,2.17710018157959,63.4892997741699,4.0,16.0,0.0,23.0,6.0,,-1.47549998760223,6.0,18.0,1.12999999523163,1.0,-1.51600003242493
InChI%3D1S%2FC10H11ClF3N3%2Fc11-9-7%2810%2812%2C13%2914%291-2-8%2816-9%2917-5-3-15-4-6-17%2Fh1-2%2C15H%2C3-6H2,0.0,1.89255046844482,60.8011016845703,4.0,7.0,0.0,28.0,6.0,,1.37569999694824,6.0,18.0,1.78999996185303,2.0,1.84300005435944
InChI%3D1S%2FC18H13ClFN3O%2Fc1-10-21-9-16-18%2824%2922-17%2812-4-2-3-5-14%2812%2920%2913-8-11%2819%296-7-15%2813%2923%2810%2916%2Fh2-9%2C18%2C24H%2C1H3%2Ft18-%2Fm1%2Fs1,0.0,0.679965138435364,99.5615997314453,0.0,18.0,0.0,39.0,12.0,,0.824599981307983,12.0,27.0,2.77999997138977,,2.31200003623962
InChI%3D1S%2FC4H5F3O%2Fc1-2-8-3-4%285%2C6%297%2Fh2H%2C1%2C3H2,0.0,1.30439245700836,22.1548004150391,8.0,3.0,2.0,13.0,0.0,0.0,1.14209997653961,0.0,7.0,1.46000003814697,3.0,2.24900007247925
InChI%3D1S%2FC18H24ClF3N4O%2Fc19-15-12-14%2818%2820%2C21%2922%2913-16%2823-15%2925-10-8-24%289-11-25%295-1-2-6-26-7-3-4-17%2826%2927%2Fh12-13H%2C1-11H2,0.0,0.144476011395454,95.2611999511719,4.0,7.0,4.0,51.0,6.0,,0.380100011825562,6.0,29.0,2.45000004768372,7.0,2.41799998283386
InChI%3D1S%2FC8H9NO2%2Fc1-6%2810%299-7-2-4-8%2811%295-3-7%2Fh2-5%2C11H%2C1H3%2C%28H%2C9%2C10%29,0.0,0.103555239737034,45.7897987365723,4.0,10.0,2.0,20.0,6.0,,0.321799993515015,6.0,11.0,2.00999999046326,1.0,0.61599999666214
InChI%3D1S%2FC9H17NO2%2Fc10-7-9%286-8%2811%2912%294-2-1-3-5-9%2Fh1-7%2C10H2%2C%28H%2C11%2C12%29,0.0,4.21193552017212,41.7888984680176,4.0,3.0,2.0,29.0,0.0,2.0,-2.05229997634888,0.0,12.0,2.11999988555908,3.0,1.39100003242493
InChI%3D1S%2FC21H26N4O3S%2Fc1-24%282%2914-18-8-9-19%2828-18%2915-29-11-10-22-21-20%2825%2826%2927%2917%2813-23-21%2912-16-6-4-3-5-7-16%2Fh3-9%2C13%2C22-23H%2C10-12%2C14-15H2%2C1-2H3,2.0,0.47596201300621,53.339599609375,5.0,6.0,2.0,54.0,16.0,,0.689899981021881,11.0,31.0,2.89000010490417,11.0,6.90700006484985
InChI%3D1S%2FC19H23N5O3%2Fc1-10-11%285-6-13-16%2810%2918%2820%2924-19%2821%2923-13%299-22-12-7-14%2825-2%2917%2827-4%2915%288-12%2926-3%2Fh5-8%2C22H%2C9H2%2C1-4H3%2C%28H4%2C20%2C21%2C23%2C24%29,0.0,0.137640997767448,107.749801635742,2.0,12.0,0.0,50.0,12.0,,-0.370999991893768,12.0,29.0,2.67000007629395,6.0,3.15400004386902
InChI%3D1S%2FC18H21NO3%2Fc1-19-8-7-18-11-4-5-13%2820%2917%2818%2922-16-14%2821-2%296-3-10%2815%2816%2918%299-12%2811%2919%2Fh3-6%2C11-13%2C17%2C20H%2C7-9H2%2C1-2H3%2Ft11-%2C12%2B%2C13-%2C17-%2C18%3F%2Fm0%2Fs1,0.0,,,2.0,15.0,0.0,40.0,6.0,,-0.308600008487701,6.0,26.0,3.0,1.0,1.31500005722046
InChI%3D1S%2FC7H8N4O2%2Fc1-10-3-8-5-4%2810%296%2812%2911%282%297%2813%299-5%2Fh3H%2C1-2H3%2C%28H%2C9%2C13%29,0.0,0.950820028781891,44.2761001586914,0.0,6.0,0.0,25.0,0.0,,-0.975099980831146,0.0,14.0,1.57000005245209,0.0,-1.02100002765656
InChI%3D1S%2FC8H11N5O3%2Fc9-8-11-6-5%287%2815%2912-8%2910-3-13%286%294-16-2-1-14%2Fh3%2C14H%2C1-2%2C4H2%2C%28H3%2C9%2C11%2C12%2C15%29,0.0,2.88422298431396,51.750301361084,5.0,6.0,2.0,31.0,0.0,,-1.69830000400543,0.0,17.0,1.46000003814697,4.0,-1.33000004291534
InChI%3D1S%2FC22H27N3O2%2Fc1-4-13-25%2814-5-1%2917-18-8-6-9-19%2816-18%2926-15-7-12-23-22-24-20-10-2-3-11-21%2820%2927-22%2Fh2-3%2C6%2C8-11%2C16H%2C1%2C4-5%2C7%2C12-15%2C17H2%2C%28H%2C23%2C24%29,0.0,0.0130188101902604,108.262199401855,5.0,10.0,3.0,54.0,12.0,,-0.114100001752377,12.0,30.0,3.32999992370605,7.0,3.05800008773804
InChI%3D1S%2FCH4N2O%2Fc2-1%283%294%2Fh%28H4%2C2%2C3%2C4%29,0.0,0.00555024994537234,10.977499961853,4.0,4.0,0.0,8.0,0.0,2.0,-0.0745000019669533,0.0,3.0,1.24000000953674,0.0,-0.234999999403954
InChI%3D1S%2FC14H13N3O5S%2Fc1-8-7-11%2816-22-8%2915-14%2819%2912-13%2818%299-5-3-4-6-10%289%2923%2820%2C21%2917%2812%292%2Fh3-7%2C18H%2C1-2H3%2C%28H%2C15%2C16%2C19%29,0.0,3.9203999042511,86.0585021972656,3.0,19.0,0.0,38.0,6.0,,-1.98000001907349,6.0,25.0,2.00999999046326,,1.78199994564056
InChI%3D1S%2FC19H26N4O5%2Fc1-14%2824%2921-8-9-22%2817%2812-21%2911-20-7-6-18%2825%2913-20%2919%2826%2910-15-2-4-16%285-3-15%2923%2827%2928%2Fh2-5%2C17-18%2C25H%2C6-13H2%2C1H3%2Ft17-%2C18-%2Fm0%2Fs1,0.0,,,3.0,9.0,2.0,54.0,6.0,,,6.0,30.0,2.55999994277954,7.0,
InChI%3D1S%2FC20H30NO3%2Fc1-14%282%2921%283%2916-9-10-17%2821%2912-18%2811-16%2924-20%2823%2919%2813-22%2915-7-5-4-6-8-15%2Fh4-8%2C14%2C16-19%2C22H%2C9-13H2%2C1-3H3%2Fq%2B1%2Ft16-%2C17%2B%2C18%3F%2C19-%2C21%3F%2Fm0%2Fs1,0.0,4.28200244903564,89.6578979492188,6.0,6.0,3.0,54.0,6.0,,-2.06929993629456,6.0,26.0,3.22000002861023,6.0,2.32399988174438
InChI%3D1S%2FC22H25NO6%2Fc1-12%2824%2923-16-8-6-13-10-19%2827-3%2921%2828-4%2922%2829-5%2920%2813%2914-7-9-18%2826-2%2917%2825%2911-15%2814%2916%2Fh7%2C9-11%2C16H%2C6%2C8H2%2C1-5H3%2C%28H%2C23%2C24%29%2Ft16-%2Fm0%2Fs1,0.0,0.640480101108551,113.8583984375,4.0,18.0,0.0,54.0,6.0,,-0.800300002098083,6.0,31.0,3.10999989509583,5.0,1.75499999523163
InChI%3D1S%2FC18H26ClN3%2Fc1-4-22%285-2%2912-6-7-14%283%2921-17-10-11-20-18-13-15%2819%298-9-16%2817%2918%2Fh8-11%2C13-14H%2C4-7%2C12H2%2C1-3H3%2C%28H%2C20%2C21%29%2Ft14-%2Fm1%2Fs1,0.0,0.00191843998618424,95.910400390625,11.0,11.0,5.0,48.0,11.0,,0.0438000001013279,10.0,23.0,3.0,8.0,2.6800000667572
InChI%3D1S%2FC10H13N5O4%2Fc1-5-3-15%2810%2818%2912-9%285%2917%298-2-6%2813-14-11%297%284-16%2919-8%2Fh3%2C6-8%2C11%2C16H%2C2%2C4H2%2C1H3%2Fq%2B1%2Fp%2B1%2Ft6-%2C7%2B%2C8%2B%2Fm0%2Fs1,0.0,,,3.0,4.0,0.0,37.0,0.0,,,0.0,20.0,1.57000005245209,3.0,
InChI%3D1S%2FC32H45N3O4S%2Fc1-21-25%2815-10-16-28%2821%2936%2930%2838%2933-26%2820-40-24-13-6-5-7-14-24%2929%2837%2919-35-18-23-12-9-8-11-22%2823%2917-27%2835%2931%2839%2934-32%282%2C3%294%2Fh5-7%2C10%2C13-16%2C22-23%2C26-27%2C29%2C36-37H%2C8-9%2C11-12%2C17-20H2%2C1-4H3%2C%28H%2C33%2C38%29%28H%2C34%2C39%29%2Ft22%3F%2C23-%2C26%2B%2C27%2B%2C29-%2Fm1%2Fs1,0.0,5.31302499771118,164.562103271484,9.0,10.0,4.0,85.0,12.0,,2.3050000667572,12.0,43.0,4.09999990463257,10.0,4.60900020599365
InChI%3D1S%2FC10H17N6S%2Fc1-8-9%2816-7-15-8%295-17-4-3-13-10%2812-2%2914-6-11%2Fh7%2C12-14H%2C3-5H2%2C1-2H3%2C%28H%2C15%2C16%29%2Fb14-10%2B,0.0,0.241768896579742,69.010498046875,11.0,6.0,2.0,37.0,0.0,,-0.491699993610382,0.0,17.0,1.78999996185303,7.0,0.384999990463257
InChI%3D1S%2FC10H18N8S2%2Fc1-14-9%2816-6-11%2915-2-3-19-4-7-5-20-10%2817-7%2918-8%2812%2913%2Fh5%2C14-16H%2C2-4%2C12-13H2%2C1H3%2C%28H%2C17%2C18%29%2Fb16-9%2B,0.0,,,11.0,6.0,2.0,20.0,5.0,,,0.0,20.0,1.46000003814697,8.0,
InChI%3D1S%2FC12H12N2O3%2Fc1-3-14-6-9%2812%2816%2917%2910%2815%298-5-4-7%282%2913-11%288%2914%2Fh4-6H%2C3H2%2C1-2H3%2C%28H%2C16%2C17%29,0.0,10.5534019470215,59.9319000244141,2.0,13.0,2.0,30.0,0.0,,-3.24860000610352,0.0,18.0,2.23000001907349,2.0,0.662999987602234
InChI%3D1S%2FC15H17FN4O3%2Fc1-2-19-8-10%2815%2822%2923%2912%2821%299-7-11%2816%2914%2818-13%289%2919%2920-5-3-17-4-6-20%2Fh7-8%2C17H%2C2-6H2%2C1H3%2C%28H%2C22%2C23%29,0.0,15.8961687088013,78.9546966552734,2.0,14.0,2.0,41.0,0.0,,-3.98699998855591,0.0,25.0,2.23000001907349,3.0,0.656000018119812
InChI%3D1S%2FC21H19F2N3O3%2Fc1-24-6-8-25%289-7-24%2919-11-18-15%2810-17%2819%2923%2920%2827%2916%2821%2828%2929%2912-26%2818%2914-4-2-13%2822%293-5-14%2Fh2-5%2C10-12H%2C6-9H2%2C1H3%2C%28H%2C28%2C29%29,0.0,0.276991695165634,113.075202941895,2.0,21.0,0.0,48.0,12.0,,0.526300013065338,12.0,32.0,2.89000010490417,3.0,2.30599999427795
InChI%3D1S%2FC19H25F3N2O%2Fc20-19%2821%2C22%2916-8-6-15%287-9-16%2913-18%2825%2924-12-2-1-5-17%2824%2914-23-10-3-4-11-23%2Fh6-9%2C17H%2C1-5%2C10-14H2%2Ft17-%2Fm0%2Fs1,0.0,0.00632025022059679,86.6436004638672,3.0,6.0,2.0,50.0,6.0,,0.0794999971985817,6.0,27.0,2.89000010490417,6.0,2.69199991226196
InChI%3D1S%2FC37H48N6O5S2%2Fc1-24%282%2933%2842-36%2846%2943%285%2920-29-22-49-35%2840-29%2925%283%294%2934%2845%2939-28%2816-26-12-8-6-9-13-26%2918-32%2844%2931%2817-27-14-10-7-11-15-27%2941-37%2847%2948-21-30-19-38-23-50-30%2Fh6-15%2C19%2C22-25%2C28%2C31-33%2C44H%2C16-18%2C20-21H2%2C1-5H3%2C%28H%2C39%2C45%29%28H%2C41%2C47%29%28H%2C42%2C46%29%2Ft28-%2C31-%2C32-%2C33-%2Fm0%2Fs1,3.0,6.80635929107666,207.591506958008,25.0,6.0,6.0,102.0,17.0,,2.60890007019043,17.0,53.0,,19.0,5.53499984741211
InChI%3D1S%2FC11H12N2S%2Fc12-7-6-11-13-10%288-14-11%299-4-2-1-3-5-9%2Fh1-5%2C8H%2C6-7%2C12H2,0.0,0.198114007711411,63.9626998901367,3.0,6.0,2.0,30.0,6.0,,0.445100009441376,6.0,15.0,2.33999991416931,3.0,1.04100000858307
InChI%3D1S%2FC13H12F2N6O%2Fc14-10-1-2-11%2812%2815%293-10%2913%2822%2C4-20-8-16-6-18-20%295-21-9-17-7-19-21%2Fh1-3%2C6-9%2C22H%2C4-5H2,0.0,1.76305282115936,80.2148971557617,4.0,6.0,3.0,42.0,6.0,1.0,-1.32780003547668,6.0,24.0,1.89999997615814,5.0,-0.587999999523163
InChI%3D1S%2FC23H29N3OS%2Fc1-3-12-24-23%2827%2918-10-11-22-20%2815-18%2926%2817%282%2916-25-13-6-7-14-25%2919-8-4-5-9-21%2819%2928-22%2Fh4-5%2C8-11%2C15%2C17H%2C3%2C6-7%2C12-14%2C16H2%2C1-2H3%2C%28H%2C24%2C27%29%2Ft17-%2Fm0%2Fs1,0.0,0.136752039194107,122.660301208496,6.0,16.0,3.0,57.0,12.0,,0.369800001382828,12.0,31.0,3.44000005722046,6.0,3.5789999961853
InChI%3D1S%2FC15H13N3O4S%2Fc1-18-13%2815%2820%2917-12-8-4-5-9-16-12%2914%2819%2910-6-2-3-7-11%2810%2923%2818%2C21%2922%2Fh2-9%2C19H%2C1H3%2C%28H%2C16%2C17%2C20%29,0.0,2.41989135742188,91.4637985229492,3.0,22.0,0.0,36.0,12.0,,-1.55560004711151,12.0,25.0,2.23000001907349,2.0,0.734000027179718
InChI%3D1S%2FC21H27N3O2%2Fc1-23%2821%2826%2913-17-9-5-6-10-19%2817%2922%2920%2816-7-3-2-4-8-16%2915-24-12-11-18%2825%2914-24%2Fh2-10%2C18%2C20%2C25H%2C11-15%2C22H2%2C1H3%2Ft18-%2C20%2B%2Fm1%2Fs1,0.0,0.00638400996103883,110.015197753906,7.0,7.0,2.0,53.0,12.0,,-0.0798999965190887,12.0,28.0,3.22000002861023,7.0,0.372999995946884
InChI%3D1S%2FC13H17N3O%2Fc1-10-12%2814%282%293%2913%2817%2916%2815%2810%294%2911-8-6-5-7-9-11%2Fh5-9H%2C1-4H3,0.0,0.447293430566788,75.3175964355469,2.0,13.0,0.0,34.0,6.0,,0.668799996376038,6.0,18.0,2.45000004768372,2.0,1.18499994277954
InChI%3D1S%2FC21H22N2O5S%2Fc1-4-28-13-10-9-11-7-5-6-8-12%2811%2914%2813%2917%2824%2922-15-18%2825%2923-16%2820%2826%2927%2921%282%2C3%2929-19%2815%2923%2Fh5-10%2C15-16%2C19H%2C4H2%2C1-3H3%2C%28H%2C22%2C24%29%28H%2C26%2C27%29%2Fq-1%2Ft15-%2C16-%2C19%2B%2Fm0%2Fs1,0.0,2.34457349777222,112.007499694824,3.0,14.0,2.0,52.0,11.0,,1.53120005130768,10.0,32.0,2.89000010490417,5.0,2.40100002288818
InChI%3D1S%2FC10H18N8S2%2Fc1-14-9%2816-6-11%2915-2-3-19-4-7-5-20-10%2817-7%2918-8%2812%2913%2Fh5%2C14-16%2C18H%2C2-4%2C12-13H2%2C1H3,1.0,0.243443563580513,86.0718002319336,11.0,3.0,2.0,42.0,0.0,,-0.493400007486343,0.0,20.0,1.46000003814697,10.0,-0.796000003814697
InChI%3D1S%2FC20H23N%2Fc1-21%282%2915-7-12-20-18-10-5-3-8-16%2818%2913-14-17-9-4-6-11-19%2817%2920%2Fh3-6%2C8-12H%2C7%2C13-15H2%2C1-2H3,0.0,5.58282375335693,97.7757034301758,6.0,14.0,3.0,44.0,12.0,,2.36279988288879,12.0,23.0,3.54999995231628,3.0,4.79199981689453
InChI%3D1S%2FC14H9ClF3NO2%2Fc15-9-3-4-11-10%287-9%2913%2814%2816%2C17%2918%2C21-12%2820%2919-11%296-5-8-1-2-8%2Fh3-4%2C7-8H%2C1-2H2%2C%28H%2C19%2C20%29%2Ft13-%2Fm0%2Fs1,1.0,7.96481275558472,44.4506988525391,3.0,10.0,2.0,30.0,6.0,,2.82220005989075,6.0,23.0,2.23000001907349,1.0,5.08500003814697
InChI%3D1S%2FC15H23NO2%2Fc17-10-5-11-18-15-7-4-6-14%2812-15%2913-16-8-2-1-3-9-16%2Fh4%2C6-7%2C12%2C17H%2C1-3%2C5%2C8-11%2C13H2,0.0,0.872729659080505,71.3525009155273,5.0,7.0,3.0,41.0,6.0,,-0.93419998884201,6.0,19.0,2.77999997138977,6.0,1.27499997615814
InChI%3D1S%2FC18H21Cl2N5O%2Fc19-14-4-3-13%289-15%2814%2920%2910-17%2826%2924-7-8-25-18%2821-12-22-25%2916%2824%2911-23-5-1-2-6-23%2Fh3-4%2C9%2C12%2C16H%2C1-2%2C5-8%2C10-11H2%2Ft16-%2Fm1%2Fs1,0.0,0.0100200101733208,103.74829864502,3.0,6.0,2.0,51.0,6.0,,0.100100003182888,6.0,29.0,2.55999994277954,5.0,0.792999982833862
InChI%3D1S%2FC16H18FN3O3%2Fc1-2-19-9-11%2816%2822%2923%2915%2821%2910-7-12%2817%2914%288-13%2810%2919%2920-5-3-18-4-6-20%2Fh7-9%2C18H%2C2-6H2%2C1H3%2C%28H%2C22%2C23%29,0.0,9.46792888641357,83.3298034667969,2.0,14.0,2.0,42.0,0.0,,-3.07699990272522,0.0,25.0,2.45000004768372,3.0,1.14400005340576
InChI%3D1S%2FC10H14N2O4%2Fc1-10%2812-11%2C9%2815%2916%295-6-2-3-7%2813%298%2814%294-6%2Fh2-4%2C12-14H%2C5%2C11H2%2C1H3%2C%28H%2C15%2C16%29%2Ft10-%2Fm0%2Fs1,0.0,0.487622886896133,61.5401992797852,8.0,8.0,3.0,30.0,6.0,,-0.698300004005432,6.0,16.0,1.89999997615814,4.0,-0.310999989509583
InChI%3D1S%2FC21H41N7O12%2Fc1-5-21%2836%2C4-30%2916%2840-17-9%2826-2%2913%2834%2910%2831%296%283-29%2938-17%2918%2837-5%2939-15-8%2828-20%2824%2925%2911%2832%297%2827-19%2822%2923%2912%2833%2914%2815%2935%2Fh4-18%2C26-29%2C31-36H%2C3%2C22-25H2%2C1-2H3%2Ft5-%2C6-%2C7-%2C8%2B%2C9-%2C10-%2C11-%2C12%2B%2C13-%2C14-%2C15%3F%2C16%3F%2C17-%2C18-%2C21%2B%2Fm0%2Fs1,3.0,,,4.0,1.0,0.0,83.0,0.0,,,0.0,42.0,1.67999994754791,11.0,-5.97900009155273
InChI%3D1S%2FC29H28N2O4%2Fc1-2-23%2820-12-5-3-6-13-20%2931-29%2834%2926-22-16-9-10-17-24%2822%2930-27%2821-14-7-4-8-15-21%2928%2826%2935-19-11-18-25%2832%2933%2Fh3-10%2C12-17%2C23H%2C2%2C11%2C18-19H2%2C1H3%2C%28H%2C31%2C34%29%28H%2C32%2C33%29%2Ft23-%2Fm0%2Fs1,0.0,,,2.0,13.0,0.0,17.0,6.0,,,6.0,13.0,1.35000002384186,2.0,
InChI%3D1S%2FC7H9NO2%2Fc1-5-7%2810%296%289%293-4-8%285%292%2Fh3-4%2C10H%2C1-2H3,0.0,0.168756633996964,40.4101982116699,0.0,8.0,0.0,19.0,0.0,,-0.410800009965897,0.0,10.0,1.89999997615814,0.0,1.32099997997284
InChI%3D1S%2FC8H8N2O3S%2Fc9-14%2811%2C12%295-7-6-3-1-2-4-8%286%2913-10-7%2Fh1-4H%2C5H2%2C%28H2%2C9%2C11%2C12%29,0.0,0.622205436229706,53.2341995239258,5.0,8.0,0.0,24.0,6.0,1.0,-0.788800001144409,6.0,15.0,,2.0,0.446999996900558
