SMILES,nRotB,XLogP,nAtomLAC,AMR,nHBDon,nAtomP,ALogp2,naAromAtom,nAtomLC,nAtom,nB,MLogP,nAromBond,ALogP,LipinskiFailures
InChI%3D1S%2FC7H5NO4%2Fc9-4-5-3-6%2810%291-2-7%285%298%2811%2912%2Fh1-4%2C10H,2.0,,0.0,,,12.0,,6.0,2.0,17.0,12.0,1.67999994754791,6.0,,0.0
InChI%3D1S%2FC24H30N3OP%2Fc1-25%282%2919-7-13-22%2814-8-19%2929%2828%2C23-15-9-20%2810-16-23%2926%283%294%2924-17-11-21%2812-18-24%2927%285%296%2Fh7-18H%2C1-6H3,6.0,2.94600009918213,0.0,,,23.0,1.4971969127655,18.0,3.0,59.0,31.0,3.54999995231628,18.0,1.22360002994537,0.0
InChI%3D1S%2FC7H6N2O3%2Fc8-7%2810%295-1-3-6%284-2-5%299%2811%2912%2Fh1-4H%2C%28H2%2C8%2C10%29,5.0,0.0270000007003546,2.0,105.718902587891,,6.0,0.446758568286896,6.0,3.0,53.0,30.0,2.67000007629395,6.0,-0.66839998960495,0.0
InChI%3D1S%2FC2H2ClN%2Fc3-1-2-4%2Fh1H2,0.0,0.26800000667572,2.0,16.37619972229,0.0,2.0,0.3331598341465,0.0,4.0,6.0,3.0,1.46000003814697,0.0,0.577199995517731,0.0
InChI%3D1S%2FC6H6ClN%2Fc7-5-3-1-2-4-6%285%298%2Fh1-4H%2C8H2,0.0,0.901000022888184,0.0,39.2218017578125,,7.0,0.33108514547348,6.0,0.0,14.0,8.0,1.89999997615814,6.0,0.575399994850159,0.0
InChI%3D1S%2FC6H2Cl2N2O4%2Fc7-3-1-4%288%296%2810%2813%2914%292-5%283%299%2811%2912%2Fh1-2H,4.0,1.07799994945526,0.0,,,7.0,0.799772500991821,6.0,3.0,49.0,31.0,2.55999994277954,6.0,0.894299983978271,0.0
InChI%3D1S%2FC7H3Cl2NO%2Fc8-5-1-4%283-10%292-6%289%297%285%2911%2Fh1-2%2C11H,0.0,1.52999997138977,0.0,46.9721984863281,,9.0,2.00732231140137,6.0,2.0,14.0,11.0,1.78999996185303,6.0,1.41680002212524,0.0
InChI%3D1S%2FC8H5F3O%2Fc9-8%2810%2C11%297-3-1-2-6%284-7%295-12%2Fh1-5H,2.0,1.52100002765656,0.0,41.2440986633301,,8.0,3.67834043502808,6.0,3.0,17.0,12.0,1.89999997615814,6.0,1.91789996623993,0.0
InChI%3D1S%2FC6H13NO%2Fc1-5-3-7-4-6%282%298-5%2Fh5-7H%2C3-4H2%2C1-2H3,8.0,1.7059999704361,2.0,110.334396362305,1.0,6.0,1.14554214477539,6.0,5.0,55.0,30.0,2.77999997138977,6.0,1.0702999830246,0.0
InChI%3D1S%2FC11H16N2O2%2Fc1-8-7-9%2815-11%2814%2912-2%295-6-10%288%2913%283%294%2Fh5-7H%2C1-4H3%2C%28H%2C12%2C14%29,3.0,1.86500000953674,0.0,63.4287986755371,,11.0,1.98584461212158,6.0,5.0,31.0,15.0,2.23000001907349,6.0,1.40919995307922,0.0
InChI%3D1S%2FC7H7NO%2Fc8-7%289%296-4-2-1-3-5-6%2Fh1-5H%2C%28H2%2C8%2C9%29,1.0,1.38800001144409,0.0,38.212100982666,,9.0,1.26832640171051,6.0,3.0,16.0,9.0,2.00999999046326,6.0,1.12619996070862,0.0
InChI%3D1S%2F4C6H5.Sn%2Fc4%2A1-2-4-6-5-3-1%3B%2Fh4%2A1-5H%3B,0.0,8.32800006866455,0.0,,,6.0,,24.0,0.0,53.0,24.0,3.99000000953674,24.0,,1.0
InChI%3D1S%2FC6H14O4%2Fc7-1-3-9-5-6-10-4-2-8%2Fh7-8H%2C1-6H2,7.0,-1.58800005912781,2.0,36.6405982971191,,0.0,1.34374463558197,0.0,10.0,24.0,9.0,1.67999994754791,0.0,-1.15919995307922,0.0
InChI%3D1S%2FC4H5NO%2Fc1-4-2-6-3-5-4%2Fh2-3H%2C1H3,0.0,0.583999991416931,0.0,7.3516001701355,0.0,0.0,0.0814531594514847,0.0,0.0,11.0,6.0,1.67999994754791,5.0,0.285400003194809,0.0
InChI%3D1S%2FC16H22O4%2Fc1-3-5-11-19-15%2817%2913-9-7-8-10-14%2813%2916%2818%2920-12-6-4-2%2Fh7-10H%2C3-6%2C11-12H2%2C1-2H3,10.0,5.03399991989136,4.0,45.4515991210938,,12.0,1.46023058891296,6.0,7.0,42.0,20.0,2.77999997138977,6.0,-1.20840001106262,1.0
InChI%3D1S%2FC6H4N2O5%2Fc9-6-3-4%287%2810%2911%291-2-5%286%298%2812%2913%2Fh1-3%2C9H,2.0,,0.0,,,13.0,,6.0,2.0,17.0,13.0,1.35000002384186,6.0,,0.0
InChI%3D1S%2FC14H14NO4PS%2Fc1-2-18-20%2821%2C14-6-4-3-5-7-14%2919-13-10-8-12%289-11-13%2915%2816%2917%2Fh3-11H%2C2H2%2C1H3,6.0,6.44199991226196,2.0,,,19.0,,12.0,6.0,35.0,22.0,2.23000001907349,12.0,,1.0
InChI%3D1S%2FC7H6Cl2%2Fc1-5-2-3-6%288%297%289%294-5%2Fh2-4H%2C1H3,0.0,2.36199998855591,0.0,44.6702003479004,,6.0,6.69360399246216,6.0,0.0,15.0,9.0,2.00999999046326,6.0,2.58719992637634,0.0
InChI%3D1S%2FC12H19NO%2Fc1-2-3-4-5-10-14-12-8-6-11%2813%297-9-12%2Fh6-9H%2C2-5%2C10%2C13H2%2C1H3,6.0,3.05200004577637,6.0,,,8.0,,6.0,7.0,33.0,14.0,2.55999994277954,6.0,-1.48329997062683,0.0
InChI%3D1S%2FC12H8F2O%2Fc13-9-1-5-11%286-2-9%2915-12-7-3-10%2814%294-8-12%2Fh1-8H,2.0,1.97300004959106,0.0,62.4416999816895,,13.0,2.4922935962677,12.0,0.0,23.0,16.0,2.45000004768372,12.0,1.5786999464035,0.0
InChI%3D1S%2FC6H5NO2%2Fc8-7%289%296-4-2-1-3-5-6%2Fh1-5H,1.0,3.26399993896484,0.0,60.4487991333008,,9.0,7.39187335968018,6.0,3.0,14.0,9.0,1.78999996185303,6.0,2.71880006790161,0.0
InChI%3D1S%2FC12H16%2Fc1-5-10-6-8-11%289-7-10%2912%282%2C3%294%2Fh5-9H%2C1H2%2C2-4H3,2.0,4.70900011062622,2.0,57.7896003723145,,8.0,10.731520652771,6.0,3.0,28.0,12.0,2.77999997138977,6.0,3.27589988708496,0.0
InChI%3D1S%2FC7H6O2.Na%2Fc8-7%289%296-4-2-1-3-5-6%3B%2Fh1-5H%2C%28H%2C8%2C9%29%3B%2Fq%3B%2B1%2Fp-1,1.0,0.500999987125397,0.0,,,9.0,,6.0,3.0,15.0,9.0,1.89999997615814,6.0,,0.0
InChI%3D1S%2FC3H6Cl2%2Fc1-3%285%292-4%2Fh3H%2C2H2%2C1H3,1.0,2.03699994087219,3.0,25.2399997711182,0.0,0.0,2.25330114364624,0.0,5.0,11.0,4.0,1.57000005245209,0.0,1.50109994411469,0.0
InChI%3D1S%2F4C4H9.Sn%2Fc4%2A1-3-4-2%3B%2Fh4%2A1%2C3-4H2%2C2H3%3B,4.0,10.46399974823,4.0,70.4823989868164,0.0,0.0,3.58572101593018,0.0,4.0,61.0,12.0,3.10999989509583,0.0,-1.89359998703003,1.0
InChI%3D1S%2FC6H14S%2Fc1-3-5-7-6-4-2%2Fh3-6H2%2C1-2H3,7.0,-0.375,2.0,34.8385009765625,0.0,6.0,0.0197121594101191,6.0,3.0,56.0,29.0,2.89000010490417,6.0,0.140400007367134,0.0
InChI%3D1S%2FC7H12O%2Fc1-3-5-6-7%288%294-2%2Fh2%2C7-8H%2C3%2C5-6H2%2C1H3,3.0,1.79100000858307,7.0,28.360200881958,1.0,2.0,0.311922252178192,0.0,8.0,20.0,7.0,2.11999988555908,0.0,-0.558499991893768,0.0
InChI%3D1S%2FC9H12O%2Fc1-6-4-7%282%299%2810%298%283%295-6%2Fh4-5%2C10H%2C1-3H3,0.0,1.70000004768372,0.0,,,7.0,,6.0,0.0,22.0,10.0,2.33999991416931,6.0,2.17950010299683,0.0
InChI%3D1S%2FC8H6ClN%2Fc1-6-3-2-4-8%289%297%286%295-10%2Fh2-4H%2C1H3,0.0,1.63699996471405,0.0,,,8.0,,6.0,1.0,16.0,10.0,2.11999988555908,6.0,2.0576000213623,0.0
InChI%3D1S%2FC8H12N2%2Fc9-7-5-3-1-2-4-6-8-10%2Fh1-6H2,5.0,1.36600005626678,8.0,33.1419982910156,0.0,2.0,1.02616894245148,0.0,10.0,22.0,9.0,2.11999988555908,0.0,-1.01300001144409,0.0
InChI%3D1S%2FC3H4Cl2%2Fc4-2-1-3-5%2Fh1-2H%2C3H2,0.0,1.84300005435944,0.0,86.4738006591797,0.0,13.0,0.50552099943161,12.0,0.0,36.0,23.0,3.0,12.0,0.711000025272369,0.0
InChI%3D1S%2FC12H7BrN2O5%2Fc13-8-1-4-10%285-2-8%2920-12-6-3-9%2814%2816%2917%297-11%2812%2915%2818%2919%2Fh1-7H,4.0,,0.0,,,19.0,,12.0,3.0,27.0,21.0,1.89999997615814,12.0,,0.0
InChI%3D1S%2FC20H30O2%2Fc1-5-18%282%2912-9-15-14%2813-18%297-8-16-19%2815%2C3%2910-6-11-20%2816%2C4%2917%2821%2922%2Fh5%2C7%2C15-16H%2C1%2C6%2C8-13H2%2C2-4H3%2C%28H%2C21%2C22%29,2.0,6.31599998474121,2.0,89.8181991577148,1.0,3.0,3.8734176158905,0.0,2.0,52.0,24.0,3.44000005722046,0.0,1.96809995174408,1.0
InChI%3D1S%2FC6H14S2%2Fc1-3-7-5-6-8-4-2%2Fh3-6H2%2C1-2H3,5.0,2.99799990653992,2.0,44.9924011230469,0.0,0.0,3.64733600616455,0.0,8.0,22.0,7.0,1.89999997615814,0.0,1.90980005264282,0.0
InChI%3D1S%2FC18H9Cl6O4P%2Fc19-10-4-1-5-11%2820%2916%2810%2926-29%2825%2C27-17-12%2821%296-2-7-13%2817%2922%2928-18-14%2823%298-3-9-15%2818%2924%2Fh1-9H,6.0,5.88000011444092,0.0,130.156402587891,,23.0,24.8332786560059,18.0,5.0,38.0,31.0,2.23000001907349,18.0,4.98330020904541,1.0
InChI%3D1S%2FC2H3Cl3%2Fc1-2%283%2C4%295%2Fh1H3,0.0,2.46900010108948,2.0,26.2173004150391,0.0,0.0,4.11805868148804,0.0,5.0,8.0,4.0,1.35000002384186,0.0,2.02929997444153,0.0
InChI%3D1S%2FC6H7N%2Fc7-6-4-2-1-3-5-6%2Fh1-5H%2C7H2,0.0,1.97699999809265,0.0,4.22209978103638,1.0,7.0,0.562350034713745,6.0,0.0,14.0,7.0,2.00999999046326,6.0,-0.749899983406067,0.0
InChI%3D1S%2FC5H10O%2Fc1-3-5%282%294-6%2Fh4-5H%2C3H2%2C1-2H3,2.0,1.44900000095367,4.0,24.4582996368408,0.0,1.0,0.0180364903062582,0.0,6.0,16.0,5.0,1.89999997615814,0.0,-0.134299993515015,0.0
InChI%3D1S%2FC24H38O4%2Fc1-3-5-7-9-11-13-19-27-23%2825%2921-15-17-22%2818-16-21%2924%2826%2928-20-14-12-10-8-6-4-2%2Fh15-18H%2C3-14%2C19-20H2%2C1-2H3,18.0,7.77600002288818,8.0,97.2600021362305,,12.0,6.25099992752075,6.0,11.0,66.0,28.0,3.66000008583069,6.0,-2.50020003318787,2.0
InChI%3D1S%2FC6H7N%2Fc1-6-2-4-7-5-3-6%2Fh2-5H%2C1H3,0.0,0.351000010967255,0.0,31.6683006286621,,6.0,0.0272250007838011,6.0,0.0,14.0,7.0,2.00999999046326,6.0,0.165000006556511,0.0
InChI%3D1S%2FC2H3Cl3%2Fc3-1-2%284%295%2Fh2H%2C1H2,4.0,0.801999986171722,0.0,161.667007446289,0.0,12.0,0.659668862819672,16.0,3.0,82.0,50.0,3.99000000953674,17.0,-0.812200009822845,0.0
InChI%3D1S%2FC15H24O%2Fc1-2-3-4-5-6-7-8-9-14-10-12-15%2816%2913-11-14%2Fh10-13%2C16H%2C2-9H2%2C1H3,8.0,6.91900014877319,9.0,,,7.0,,6.0,9.0,40.0,16.0,3.0,6.0,-2.36260008811951,1.0
InChI%3D1S%2FC2HCl5%2Fc3-1%284%292%285%2C6%297%2Fh1H,1.0,3.22900009155273,2.0,36.3208999633789,0.0,0.0,8.33938884735107,0.0,7.0,8.0,6.0,1.12999999523163,0.0,2.88779997825623,0.0
InChI%3D1S%2FC7H8ClN%2Fc1-5-2-3-7%289%296%288%294-5%2Fh2-4H%2C9H2%2C1H3,10.0,3.60899996757507,3.0,160.646606445312,,20.0,0.700568974018097,22.0,6.0,73.0,43.0,4.21000003814697,23.0,0.837000012397766,0.0
InChI%3D1S%2FC8H6BrNO5%2Fc1-15-8-6%2810%2813%2914%294%283-11%292-5%289%297%288%2912%2Fh2-3%2C12H%2C1H3,3.0,1.36099994182587,0.0,,,13.0,,6.0,2.0,21.0,15.0,1.57000005245209,6.0,,0.0
InChI%3D1S%2FC12H10N2O%2Fc15-12-8-6-11%287-9-12%2914-13-10-4-2-1-3-5-10%2Fh1-9%2C15H,2.0,2.50799989700317,0.0,62.1725006103516,,15.0,1.82276999950409,12.0,2.0,25.0,16.0,2.45000004768372,12.0,1.35010004043579,0.0
InChI%3D1S%2FC14H23N%2Fc1-2-3-4-5-6-7-8-13-9-11-14%2815%2912-10-13%2Fh9-12H%2C2-8%2C15H2%2C1H3,5.0,2.63899993896484,2.0,,,6.0,,12.0,3.0,51.0,30.0,3.32999992370605,12.0,2.04620003700256,0.0
InChI%3D1S%2FC11H15NO3%2Fc1-8%282%2914-9-6-4-5-7-10%289%2915-11%2813%2912-3%2Fh4-8H%2C1-3H3%2C%28H%2C12%2C13%29,4.0,2.27300000190735,0.0,38.3759002685547,,11.0,1.75403535366058,6.0,5.0,30.0,15.0,2.23000001907349,6.0,0.643100023269653,0.0
InChI%3D1S%2FC15H12Cl4O2%2Fc1-15%282%2C7-3-9%2816%2913%2820%2910%2817%294-7%298-5-11%2818%2914%2821%2912%2819%296-8%2Fh3-6%2C20-21H%2C1-2H3,2.0,4.90100002288818,0.0,,,7.0,,12.0,2.0,33.0,22.0,2.45000004768372,12.0,,0.0
InChI%3D1S%2FC3H7Br%2Fc1-2-3-4%2Fh2-3H2%2C1H3,1.0,2.09400010108948,3.0,22.1215991973877,0.0,0.0,0.440497696399689,0.0,4.0,11.0,3.0,1.67999994754791,0.0,0.663699984550476,0.0
InChI%3D1S%2FC2HCl3%2Fc3-1-2%284%295%2Fh1H,0.0,2.64199995994568,2.0,25.2621994018555,0.0,2.0,3.03735184669495,0.0,5.0,6.0,4.0,1.35000002384186,0.0,1.74279999732971,0.0
InChI%3D1S%2FC12H11NO2%2Fc1-13-12%2814%2915-11-8-4-6-9-5-2-3-7-10%289%2911%2Fh2-8H%2C1H3%2C%28H%2C13%2C14%29,2.0,2.29200005531311,0.0,63.7247009277344,,14.0,3.01439046859741,10.0,5.0,26.0,16.0,2.45000004768372,11.0,1.73619997501373,0.0
InChI%3D1S%2FC5H4BrNO%2Fc6-5-4%288%292-1-3-7-5%2Fh1-3%2C8H,0.0,1.0,0.0,,,7.0,,6.0,0.0,12.0,8.0,1.67999994754791,6.0,,0.0
InChI%3D1S%2FC20H30O2%2Fc1-13%282%2914-6-8-16-15%2812-14%297-9-17-19%2816%2C3%2910-5-11-20%2817%2C4%2918%2821%2922%2Fh12%2C16-17H%2C5-11H2%2C1-4H3%2C%28H%2C21%2C22%29,1.0,5.77600002288818,3.0,90.2817993164062,1.0,4.0,4.61562252044678,0.0,3.0,52.0,24.0,3.44000005722046,0.0,2.14840006828308,1.0
InChI%3D1S%2FC7H4Cl2O%2Fc8-6-2-1-5%284-10%297%289%293-6%2Fh1-4H,5.0,1.69000005722046,0.0,164.806304931641,,25.0,2.83181595802307,21.0,2.0,71.0,52.0,3.32999992370605,22.0,-1.68280005455017,0.0
InChI%3D1S%2FC12H11N%2Fc1-3-7-11%288-4-1%2913-12-9-5-2-6-10-12%2Fh1-10%2C13H,2.0,4.90999984741211,0.0,86.0852966308594,,13.0,3.60000012733508e-05,12.0,0.0,24.0,14.0,2.67000007629395,12.0,-0.00600000005215406,0.0
InChI%3D1S%2FC18H15O4P%2Fc19-23%2820-16-10-4-1-5-11-16%2C21-17-12-6-2-7-13-17%2922-18-14-8-3-9-15-18%2Fh1-15H,3.0,0.596000015735626,0.0,68.2371978759766,,9.0,0.155709162354469,6.0,4.0,29.0,16.0,2.00999999046326,6.0,0.394600003957748,0.0
InChI%3D1S%2FC3H6Cl2%2Fc4-2-1-3-5%2Fh1-3H2,1.0,0.651000022888184,0.0,23.5671997070312,0.0,12.0,1.4976863861084,6.0,0.0,26.0,15.0,2.33999991416931,6.0,1.22379994392395,0.0
InChI%3D1S%2FC9H10Cl2N2O%2Fc1-13%282%299%2814%2912-6-3-4-7%2810%298%2811%295-6%2Fh3-5H%2C1-2H3%2C%28H%2C12%2C14%29,2.0,2.31599998474121,0.0,62.086799621582,,10.0,3.32734084129333,6.0,6.0,24.0,14.0,1.89999997615814,6.0,1.82410001754761,0.0
InChI%3D1S%2FC6H4FNO2%2Fc7-5-1-3-6%284-2-5%298%289%2910%2Fh1-4H,1.0,,0.0,,,9.0,,6.0,3.0,14.0,10.0,1.67999994754791,6.0,,0.0
InChI%3D1S%2FC9H11NO%2Fc1-10%282%299-5-3-8%287-11%294-6-9%2Fh3-7H%2C1-2H3,2.0,0.96399998664856,0.0,,,9.0,,6.0,3.0,22.0,11.0,2.23000001907349,6.0,,0.0
InChI%3D1S%2FC9H12O%2Fc1-6-4-5-7%282%299%2810%298%286%293%2Fh4-5%2C10H%2C1-3H3,0.0,1.70000004768372,0.0,45.407299041748,,7.0,4.75022029876709,6.0,0.0,22.0,10.0,2.33999991416931,6.0,2.17950010299683,0.0
InChI%3D1S%2FC10H14%2Fc1-3-9-6-5-7-10%284-2%298-9%2Fh5-8H%2C3-4H2%2C1-2H3,2.0,3.79399991035461,2.0,49.2165985107422,,6.0,2.64387607574463,6.0,2.0,24.0,10.0,2.55999994277954,6.0,1.62600004673004,0.0
InChI%3D1S%2FC8H8Cl2%2Fc9-5-7-1-2-8%286-10%294-3-7%2Fh1-4H%2C5-6H2,2.0,1.65199995040894,0.0,,,6.0,,6.0,1.0,18.0,10.0,2.11999988555908,6.0,,0.0
InChI%3D1S%2FC12H11NO3S%2Fc14-17%2815%2C16%2912-7-4-8-13%2810-12%299-11-5-2-1-3-6-11%2Fh1-8%2C10H%2C9H2,3.0,2.49499988555908,0.0,,1.0,6.0,,6.0,4.0,33.0,18.0,2.23000001907349,6.0,,0.0
InChI%3D1S%2FC12H10O3%2Fc13-9-1-5-11%286-2-9%2915-12-7-3-10%2814%294-8-12%2Fh1-8%2C13-14H,2.0,1.5789999961853,0.0,,,15.0,,12.0,0.0,25.0,16.0,2.45000004768372,12.0,,0.0
InChI%3D1S%2FC18H31N%2Fc1-2-3-4-5-6-7-8-9-10-11-12-17-13-15-18%2819%2916-14-17%2Fh13-16H%2C2-12%2C19H2%2C1H3,5.0,1.06700003147125,2.0,67.3082962036133,,7.0,0.29387241601944,6.0,4.0,33.0,15.0,2.23000001907349,6.0,-0.542100012302399,0.0
InChI%3D1S%2FC7H5Cl2NO%2Fc8-4-1-2-5%287%2810%2911%296%289%293-4%2Fh1-3H%2C%28H2%2C10%2C11%29,1.0,1.90900003910065,0.0,47.6445007324219,,9.0,3.47300505638123,6.0,3.0,16.0,11.0,1.78999996185303,6.0,1.86360001564026,0.0
InChI%3D1S%2FC6H14O2%2Fc1-5%287%294-6%282%2C3%298%2Fh5%2C7-8H%2C4H2%2C1-3H3,2.0,0.486999988555908,5.0,32.6455993652344,2.0,0.0,0.00490000005811453,0.0,8.0,22.0,7.0,1.89999997615814,0.0,-0.0700000002980232,0.0
InChI%3D1S%2FC12H17NO%2Fc1-4-13%285-2%2912%2814%2911-8-6-7-10%283%299-11%2Fh6-9H%2C4-5H2%2C1-3H3,4.0,2.15199995040894,2.0,61.4402008056641,,9.0,2.97493505477905,6.0,7.0,31.0,14.0,2.55999994277954,6.0,1.72479999065399,0.0
InChI%3D1S%2FC7H9N%2Fc1-2-7-5-3-4-6-8-7%2Fh3-6H%2C2H2%2C1H3,1.0,0.39300000667572,2.0,,,6.0,,6.0,2.0,17.0,8.0,2.11999988555908,6.0,-0.266699999570847,0.0
InChI%3D1S%2FC6H3I3O%2Fc7-3-1-4%288%296%2810%295%289%292-3%2Fh1-2%2C10H,0.0,3.80399990081787,0.0,69.5197982788086,,7.0,2.84866881370544,6.0,0.0,13.0,10.0,1.67999994754791,6.0,1.6878000497818,0.0
InChI%3D1S%2FC24H27O4P%2Fc1-16-7-10-22%2813-19%2816%294%2926-29%2825%2C27-23-11-8-17%282%2920%285%2914-23%2928-24-12-9-18%283%2921%286%2915-24%2Fh7-15H%2C1-6H3,6.0,5.40299987792969,0.0,127.551200866699,,23.0,29.6970500946045,18.0,5.0,56.0,31.0,3.54999995231628,18.0,5.44950008392334,1.0
InChI%3D1S%2FC8H8O%2Fc1-7-4-2-3-5-8%287%296-9%2Fh2-6H%2C1H3,1.0,1.45500004291534,0.0,,,8.0,,6.0,1.0,17.0,9.0,2.23000001907349,6.0,,0.0
InChI%3D1S%2FC10H14O%2Fc1-2-3-9-11-10-7-5-4-6-8-10%2Fh4-8H%2C2-3%2C9H2%2C1H3,4.0,2.61700010299683,4.0,,,7.0,,6.0,5.0,25.0,11.0,2.45000004768372,6.0,0.289400011301041,0.0
InChI%3D1S%2FC6H4N2O5%2Fc9-6-4%287%2810%2911%292-1-3-5%286%298%2812%2913%2Fh1-3%2C9H,2.0,3.32299995422363,0.0,,,13.0,,6.0,3.0,17.0,13.0,1.35000002384186,6.0,,0.0
InChI%3D1S%2FC7H5NO3S.Na.H2O%2Fc9-7-5-3-1-2-4-6%285%2912%2810%2C11%298-7%3B%3B%2Fh1-4H%2C%28H%2C8%2C9%29%3B%3B1H2%2Fq%3B%2B1%3B%2Fp-1,0.0,,0.0,,,12.0,,6.0,0.0,20.0,13.0,1.46000003814697,6.0,,
InChI%3D1S%2FC8H8O%2Fc1-7%289%298-5-3-2-4-6-8%2Fh2-6H%2C1H3,1.0,1.24399995803833,2.0,40.5060997009277,,8.0,0.909925222396851,6.0,3.0,17.0,9.0,2.23000001907349,6.0,0.95389997959137,0.0
InChI%3D1S%2FC7H3I2NO%2Fc8-5-1-4%283-10%292-6%289%297%285%2911%2Fh1-2%2C11H,0.0,2.44899988174438,0.0,36.6556015014648,,9.0,5.83029317855835,6.0,2.0,14.0,11.0,1.78999996185303,6.0,2.41459989547729,0.0
InChI%3D1S%2FC6H5Cl2N%2Fc7-5-2-1-4%289%293-6%285%298%2Fh1-3H%2C9H2,0.0,1.47800004482269,0.0,,,7.0,,6.0,0.0,14.0,9.0,1.78999996185303,6.0,,0.0
InChI%3D1S%2FC6H6BrN%2Fc7-5-1-3-6%288%294-2-5%2Fh1-4H%2C8H2,2.0,,3.0,,,18.0,,6.0,3.0,39.0,27.0,3.10999989509583,6.0,,0.0
InChI%3D1S%2FC23H22O6%2Fc1-11%282%2916-8-14-15%2828-16%296-5-12-22%2824%2921-13-7-18%2825-3%2919%2826-4%299-17%2813%2927-10-20%2821%2929-23%2812%2914%2Fh5-7%2C9%2C16%2C20-21H%2C1%2C8%2C10H2%2C2-4H3,3.0,2.07599997520447,0.0,114.148902893066,,10.0,0.0192376896739006,12.0,2.0,51.0,33.0,3.32999992370605,12.0,0.152700006961823,0.0
InChI%3D1S%2FC6H15N3%2Fc7-1-4-9-5-2-8-3-6-9%2Fh8H%2C1-7H2,5.0,2.92400002479553,2.0,38.6932983398438,2.0,6.0,1.18265628814697,6.0,5.0,58.0,29.0,3.44000005722046,6.0,-1.08749997615814,0.0
InChI%3D1S%2FC6H6O2%2Fc7-5-3-1-2-4-6%285%298%2Fh1-4%2C7-8H,4.0,-0.156000003218651,2.0,34.1668014526367,,12.0,0.0153512097895145,6.0,4.0,36.0,20.0,2.00999999046326,6.0,-0.12389999628067,0.0
InChI%3D1S%2FC4H6O%2Fc1-2-3-4-5%2Fh1%2C5H%2C3-4H2,4.0,3.02600002288818,3.0,19.4927997589111,1.0,13.0,0.326955229043961,12.0,6.0,40.0,23.0,2.89000010490417,12.0,0.571799993515015,0.0
InChI%3D1S%2FC5Cl5N%2Fc6-1-2%287%294%289%2911-5%2810%293%281%298,0.0,3.21300005912781,0.0,51.2977981567383,,6.0,9.34463787078857,6.0,0.0,11.0,11.0,1.35000002384186,6.0,3.05690002441406,0.0
InChI%3D1S%2FN3.Na%2Fc1-3-2%3B%2Fq-1%3B%2B1,0.0,-1.67900002002716,0.0,,1.0,3.0,,0.0,3.0,6.0,2.0,1.01999998092651,0.0,,0.0
